1,Facultad de Ingeniería,Libertador General San Martin 1109 (O),Capital San Juan,0264-4222074 - 4222643
1,1,BioIngenieria,Bioingeniero,Once Semestres,Grado
1,2,Ingeniería Electrónica,Ingeniero en Electrónica,Once Semestres,Grado
1,3,Ingeniería Electrica,Ingeniero en Electrico,Diez Semestres,Grado
1,4,Ingeniería en Agrimensura,Ingeniero Agrimensor,Diez Semestres,Grado
1,5,Ingeniería Electromecánica,Ingeniero Electromecánico,Once Semestres,Grado
1,6,Ingenieria Industrial,Ingeniero Industrial,Diez Semestres,Grado
1,7,Ingenieria Mecánica,Ingeniero Mecánico,Once Semestres,Grado
1,8,Ingenieria Civil,Ingeniero Civil,Diez Semestres,Grado
1,9,Ingenieria en Minas,Ingeniero en Minas,Diez Semestres,Grado
1,10,Ingenieria en Metalúrgica Extractiva,Ingeniero Metalurgista,Diez Semestres,Grado
1,11,Ingenieria en Alimentos,Ingeniero en Alimentos,Diez Semestres,Grado
1,12,Ingeniería en Agronómica,Ingeniero Agrónomo,Diez Semestres,Grado
2,Facultad de Ciencias Exactas Físicas y Naturales,Avenida Ignacio de la Roza 590 (Oeste),Rivadavia San Juan,0264-4260353-4260355
2,1,Licenciatura en Sistemas de Información,Licenciado en Sistemas de Información,Diez Semestres,Grado
2,2,Licenciatura en Ciencias de la Computación,Licenciado en Ciencias de la Computación,Diez Semestres,Grado
2,3,Tecnicatura en Programación Web,Técnico en Programación Web,Tres Semestres,Pre grado
2,4,Licenciatura en Ciencias Geologicas,Licenciado en Ciencias Geológicas,10 Semestres,Grado
2,5,Licenciatura en Astronomia,Licenciado en Astronomía,10 Semestres,Grado
2,6,Licenciatura en Geofisica,Licenciado en Geofisica,10 Semestres,Grado
2,7,Licenciatura en Biologia Orientacion Ecologica,Licenciado en Biología Or. Ecología,10 Semestres,Grado
2,8,Tecnicatura en Biologia Orientacion Ecologica,Técnico en Biología Or. Ecología,6 Semestres,Pre grado
3,Facultad de Filosofía Humanidades y Artes,Av. Ignacio de la Roza 230 (O),Capital San Juan,0264-4222074 - 4222643
3,1,Licenciatura en Comunicacion Social, Licenciado en Comunicacion Social,Nueve Semestres,Grado
3,2,Licenciatura en Administracion,Licenciado en Administracion,Diez Semestres,Grado
3,3,Contador Publico, Contador Publico,Diez Semestres,Grado
3,4,Licenciatura en Sociologia,Licenciado en Sociologia,Diez Semestres,Grado
3,5,Abogacia,Abogado,Diez Semestres,Grado
4,Facultad de Arquitectura Urbanismo y Diseño,Av. Ignacio de la Roza 590 (O) Complejo Universitario "Islas Malvinas",Rivadavia San Juan,232395 - 4233259 - 4260104 - 4260105 - 4260099
4,1,Diseño Grafico,Diseñador Grafico,Diez Semestres,Grado
4,2,Diseño Industrial,Diseñador Industrial,Diez Semestres,Grado
4,3,Arquitectura y Urbanismo,Arquitecto,Doce Semestres,Grado
